Dutch|English
Vacature|Job vacancy/posting
UWV WERKbedrijf|Government initiative that helps unemployed people find a job and receive an allowance
Solliciteren|Applying for a job
Uitzendbureau|Employment agency
Tijdelijk werk|Temporary work
Internationale diplomawaardering (IDW)|International diploma evaluation; to see what a foreign diploma is worth in the Netherlands
Diploma waarderen|Evaluating a diploma to see what a foreign diploma is worth in the Netherlands
Dienst Uitvoering Onderwijs (DUO)|Governmental organisation responsible for education and financing of people's education
Regionaal Opleidingscentrum (ROC)|Regional education centres; many people train here for a specific profession
Re-integratiebedrijf|Re-integration company; helps people who haven't had a job for a longer period of time get a job
Bijscholing / Nascholing|Additional training/schooling
EVC|Organisation responsible for evaluation and recognition of prior working experience
Vrijwilligerswerk|Voluntary work
Sollicitatieplicht|Job application duty; obligation to actively apply for work when receiving a WW uitkering
WW-uitkering|Unemployment allowance
WIA-uitkering|Disability allowance
AOW|State pension; received from age 67
Bijstand|Income support; applied via gemeente when you have no work history
Werkgevers|Employers
Werknemers|Employees
Arbeidscontract|Employment contract
Proeftijd|Probation period when starting a new job
Vast contract|Fixed/permanent employment contract
Tijdelijk contract|Temporary employment contract
Contract via uitzendbureau|Contract through an employment agency
Veiligheid|Safety
Gezondheid|Health
Bedrijfsarts / Arboarts|Health and safety officer in a company; consulted when an employee is sick for a longer period
Re-integratieplan|Reintegration plan made by the arboarts for an employee returning from long-term illness
Arbo-wet|Working conditions act; rules ensuring employees can work safely and healthily
Ondernemingsraad (OR)|Works council; required in companies with more than 50 employees
Medezeggenschapsraad (MR)|Participation council; similar to OR, usually in companies with fewer than 50 employees
Personeelsvereniging (PV)|Staff association; organises social events for employees
Lastenverdeling|Burden sharing regarding taxes; the higher your income the more tax you pay
Netto salaris|Net salary; what you actually receive after tax and premium deductions
Bruto salaris|Gross salary; full salary before tax and premiums are deducted
Loonstrookje|Payslip; monthly overview of salary, tax, and premiums
Jaaropgave|Annual income overview from your employer; keep for 5 years
Collectieve arbeidsovereenkomst (CAO)|Collective labour agreement; rules for all employers and employees in the same sector
Vakbond|Trade/labour union; negotiates CAO, salaries, and working conditions
Kamer van Koophandel (KvK)|Chamber of Commerce; all businesses in the Netherlands must register here
KvK-nummer|Chamber of Commerce registration number
Ondernemersplan|Business plan; required by the bank before granting a loan to start a business
Rechtstaat|Constitutional state
De wet|The law
Grondwet|The constitution
Vrijheid van meningsuiting|Freedom of expression
Vrijheid van godsdienst|Freedom of religion
Vrijheid van onderwijs|Freedom of education; the right to choose a school for your children and the right to start your own school
Scheiding tussen de wet en religie|Separation of law and religion; in case of conflict, law prevails
Boete|Fine
Gevangenis|Prison
Slachtofferhulp Nederland|Victim support Netherlands
De scheiding van de machten|Separation of the powers
Uitvoerende macht|The executing power; this is the 'regering' = Koning + minister-president + ministers
Wetgevende macht|Legislative power; this is the 'parlement' = Tweede Kamer + Eerste Kamer
Rechterlijke macht|Judicial power; the rechters (judges)
Regering|Government
Koning|King
Minister-president|Prime minister
De Eerste Kamer|Upper house of parliament; checks the work of the regering and the Tweede Kamer; has 75 members
De Tweede Kamer|Lower house of parliament; discusses government plans, advises government and proposes new laws; has 150 members
Parlement|Tweede Kamer + Eerste Kamer
Rechters|Judges
Koninkrijk|Kingdom
Verkiezingen|Elections
Kiesrecht|Right to vote
Actief kiesrecht|Active right to vote; people have the right to vote during elections
Passief kiesrecht|Passive right to vote; people are allowed to be candidates and have others vote for them during elections
Landelijke bestuur|National government
Tweede Kamer verkiezingen|Tweede Kamer elections
De waterschappen|Regional water authorities; responsible for issues regarding water
Referendum|Special type of election in which you can only vote 'yes' or 'no'
Staatssecretaris|Secretary of state; helps the ministers; each minister has his/her own secretary of state
Het kabinet|All ministers + all staatssecretarissen
Commissaris van de koningin|Leader of the provincial government
Planologie|Spatial planning (of provinces)
De Gemeenteraad|Committee in charge of municipal government
De burgemeester|Leader of municipal government
Deelgemeenten|Partial municipalities; some big municipalities such as Amsterdam or Rotterdam have deelgemeenten
Deelgemeenteraad|Committee in charge of government of a partial municipality
Europese Commissie|European commission
Troonrede|Once a year on the 3rd Tuesday of September (Prinsjesdag) the king reads the plans of the government
Rechts|Right wing (political)
Links|Left wing (political)
Lijsttrekker|Leader of a political party during the elections
Stembureau|Polling station
Stembiljet|Ballot
Meerderheid|Majority
Meerderheidspartijen|Majority parties; parties who form the government after the elections
Coalitie|Group of majority parties who form the government
Oppositie|Parties who do not form the government after the elections
Zwanger|Pregnant
Bevalling|Child birth
Kinderdagverblijf|Day care
Oppas|Babysitter
Gastouderopvang|Host parent care
Gastouder|Host parent
Peuterspeelzaal|Playroom (for children from 2-4 years old)
Voorschool|Pre-school (for children from 2-4 years old who are behind in their development or don't speak Dutch at home)
Basisschool|Elementary school
Buitenschoolse opvang|After school care; for elementary school children whose parents are not able to take care of them after school, often due to work
Middelbare school / voortgezet onderwijs|High school
VWO|High school for children who can study very well (duration: 6 years)
HAVO|High school for children who can study well (duration: 5 years)
VMBO|High school for children who cannot study very well (duration: 4 years)
De universiteit|Highest level of after high school education (students can study to be a doctor or a lawyer)
HBO|Second highest level of after high school education (students can study to become a teacher)
MBO|Lowest level of after high school education (students can study to work in a store or at the day care center)
Leerplicht|Mandatory schooling
Openbare school|Public school
Kinderopvang|Childcare
Kinderbijslag|Child support
Sociale Verzekeringsbank (SVB)|Social security bank
Ouderbijdrage|Parental contribution (for schools; sometimes parents are asked to contribute for certain things; a daytrip or internet connection)
Lesgeld|Tuition
Studiefinanciering|Financing of studies by the government (DUO)
Volwassen|Adults
Huisarts|General practitioner
Bureau jeugdzorg|Youth Care Office (parents can ask for help here when they are having problems raising their child(ren))
Ouderavonden|Parents evenings (at school)
10-minutengesprekken|10-minute conversations with teacher about your child
Rapportavonden|Report card evenings (you can talk with the teacher about your child's report card)
Vrijwilliger|Volunteer
De Tachtigjarige Oorlog|80-year war against Spain: 1568-1648
Koning Filips II|Leader of Spain during a big part of the Tachtigjarige Oorlog
Protestanten|Protestants; people who protested against the Catholic king Filips II's dominant leadership in the Netherlands
Willem van Oranje|Leader of the revolt against king Filips II
'Het Wilhelmus'|Name of the Dutch national anthem
Republiek der zeven verenigde Nederlanden|Name of the Netherlands after it gained independence from Spain in 1648
De gouden eeuw|The golden age; 1600-1700; a period with a lot of prosperity thanks to trade
Verenigde Oost-Indische Compagnie (VOC)|The biggest trading company during the gouden eeuw; a combination of different smaller trading companies
De industriële revolutie|The industrial revolution; 1800-1900
Socialisten|Socialists; group of people, mainly workers, who fought for the rights of the working class during the industrial revolution
Koningin Wilhelmina|Queen of the Netherlands during WW2; she and the royal family went to England because it was no longer safe in the Netherlands
Verzet|The resistance; during WW2 people spread news about the war and tried to help Jews by providing secret hiding places
5 mei 1945|Liberation Day
Grote overstroming|The big flood; in 1953 there was a big flood in Zeeland and part of Zuid-Holland; many people were killed
Het Deltaplan|A plan that resulted from the big flood to give the Netherlands better protection against the water
Deltawerken|The project that resulted from the Deltaplan
Ontkerkelijking|Secularization; between 1960 and 1970 the church was becoming less influential in Dutch society
Gastarbeiders|Migrant workers
Amsterdam|The capital city of the Netherlands
Schiphol|The biggest airport of the Netherlands; it is in Amsterdam
Rotterdam|The second biggest city in the Netherlands with the biggest harbour of Europe; De Europoort
Den Haag|The third biggest city in the Netherlands; it is the political heart of the Netherlands
Utrecht|The fourth biggest city in the Netherlands
De Randstad|An urban area in the west of the Netherlands; Amsterdam + Rotterdam + Den Haag + Utrecht
De Veluwe|An area in the east of the Netherlands with a lot of nature; it is in the province Gelderland
De Waddeneilanden|Group of islands in the north of the Netherlands
Duinen en dijken|Dunes and dikes
Het IJsselmeer|The biggest lake of the Netherlands; it used to be a sea before the Afsluitdijk was built
De Afsluitdijk|A dike built to protect the Netherlands against the water; goes from Noord-Holland to Friesland
Polders|Artificially built pieces of land that used to be water
Flevoland|A province that is almost completely a polder
Zeeklimaat|Sea climate; not so cold winters / not so hot summers
Aruba, Curaçao en Sint-Maarten|Islands in the Caribbean that are part of the Dutch kingdom; they are also independent countries
Bonaire, Saba en Sint Eustatius|Islands in the Caribbean that are part of the Dutch kingdom; not independent countries; called 'bijzondere gemeenten'
Gefeliciteerd|Congratulations
Gecondoleerd|Condolences
Openbaar vervoer|Public transport
Vervoersbewijs|Transportation ticket
Stiltecoupés|Silent compartments in train
Uitvoeringsinstituut Werknemersverzekeringen (UWV)|Government institution responsible for unemployment allowance (WW), disability allowance (WIA) etc.
Samenlevingscontract|Cohabitation contract
Gezin|Family/household (normally two parents and one or more children)
Eenoudergezin|Single parent family
Waarden|Values (things people in the Netherlands find important)
Normen|Rules resulting from values
Geweld|Violence
Huiselijk geweld|Domestic violence
Sociaal netwerk|Social network
Buurt|Neighborhood
Vereniging|Club; for example a football club or dancing club
Buurthuis|Community center
Kerst|Christmas
Pasen|Easter
Sinterklaas|A feast on the 5th of December; children receive presents; adults also celebrate and give each other presents
Schoentje zetten|Leaving your shoe; children leave their shoe for Sinterklaas before going to bed
Koningsdag|King's Day; Dutch celebrate the birthday of King Willem-Alexander
Bevrijdingsdag|On the 5th of May Dutch celebrate the liberation from Germany in WWII (1945)
Pinksteren|Pentecost
Hemelvaart|Ascension Day
Oud en nieuw|New Year's Eve
Trakteren|Giving a treat; Dutch give a treat at school or at work on their birthday
Geboorte|Childbirth
Kraamvisite|Baby shower; family/friends visit a few days after birth
Beschuit met muisjes|Biscuits with sprinkles; pink for girls, blue for boys; served at the baby shower
Bruiloft|Wedding celebration
Trouwdag|Wedding Day
Receptie|Reception after the wedding ceremony; people congratulate the couple
Geslaagd|Graduated
Schooltas aan de vlaggenstok|School bag hung on the flagpole; Dutch tradition for graduating high school
